fetched from: https://autoconfig.thunderbird.net/v1.1/, enriched, updated at: 2022-10-11
domain;smtp_host:smtp_port,smtp_host:smtp_port,smtp_host:smtp_port;smtp_login_template
aol.com;smtp.aol.com:465;%EMAILADDRESS%
aon.at;securemail.a1.net:587,bsmtp.a1.net:587,forschung.a1.net:587;%EMAILADDRESS%
alumnidirector.com;smtp.mail.com:465;%EMAILADDRESS%
aol.fr;smtp.aol.com:465;%EMAILADDRESS%
aol.se;smtp.aol.com:465;%EMAILADDRESS%
aol.it;smtp.aol.com:465;%EMAILADDRESS%
arcor.de;mail.arcor.de:465,www.arcor.de:587;%EMAILLOCALPART%
aol.com.mx;smtp.aol.com:465;%EMAILADDRESS%
aol.de;smtp.aol.com:465;%EMAILADDRESS%
archaeologist.com;smtp.mail.com:465;%EMAILADDRESS%
aqua.plala.or.jp;aqua.mail.plala.or.jp:587,www.cherry.hs.plala.or.jp:465,ruken.hs.plala.or.jp:587,fussa-5e.hs.plala.or.jp:465;%EMAILLOCALPART%
amorki.pl;smtp.poczta.onet.pl:465;%EMAILADDRESS%
arubapec.it;smtps.pec.aruba.it:465,safety21.pec.aruba.it:465;%EMAILADDRESS%
anarki.dk;mail.telenor.dk:587;%EMAILADDRESS%
artlover.com;smtp.mail.com:465;%EMAILADDRESS%
atheist.com;smtp.mail.com:465;%EMAILADDRESS%
australiamail.com;smtp.mail.com:465;%EMAILADDRESS%
aol.es;smtp.aol.com:465;%EMAILADDRESS%
aol.com.br;smtp.aol.com:465;%EMAILADDRESS%
arizona.usa.com;smtp.mail.com:465;%EMAILADDRESS%
aol.com.ar;smtp.aol.com:465;%EMAILADDRESS%
bc.iij4u.or.jp;mbox.iij4u.or.jp:587;%EMAILLOCALPART%.%EMAILDOMAIN%
bay.wind.co.jp;bay.wind.ne.jp:587;%EMAILLOCALPART%
bay.wind.jp;bay.wind.ne.jp:587;%EMAILLOCALPART%
bay.gunmanet.ne.jp;bay.wind.ne.jp:587;%EMAILLOCALPART%
bay.gunmanet.or.jp;bay.wind.ne.jp:587;%EMAILLOCALPART%
apost.plala.or.jp;apost.mail.plala.or.jp:587,www.cherry.hs.plala.or.jp:465,ruken.hs.plala.or.jp:587,fussa-5e.hs.plala.or.jp:465;%EMAILLOCALPART%
asia-mail.com;smtp.mail.com:465;%EMAILADDRESS%
123mail.dk;mail.telenor.dk:587;%EMAILADDRESS%
bartender.net;smtp.mail.com:465;%EMAILADDRESS%
ballade.plala.or.jp;ballade.mail.plala.or.jp:587,www.cherry.hs.plala.or.jp:465,ruken.hs.plala.or.jp:587,fussa-5e.hs.plala.or.jp:465;%EMAILLOCALPART%
bell.net;smtphm.sympatico.ca:587;%EMAILADDRESS%
bellsouth.net;outbound.att.net:465;%EMAILADDRESS%
alumni.com;smtp.mail.com:465;%EMAILADDRESS%
am0.yahoodns.net;smtp.mail.yahoo.com:465,smtp.mail.yahoo.com:587,smtp.att.yahoo.com:587,smtp.att.yahoo.com:465;%EMAILADDRESS%
bigger.com;smtp.mail.com:465;%EMAILADDRESS%
begavet.dk;mail.telenor.dk:587;%EMAILADDRESS%
bay.wind.ne.jp;bay.wind.ne.jp:587;%EMAILLOCALPART%
bigpond.com;smtp.telstra.com:465;%EMAILADDRESS%
berlin.com;smtp.mail.com:465;%EMAILADDRESS%
blu.it;smtp.libero.it:465;%EMAILADDRESS%
birdlover.com;smtp.mail.com:465;%EMAILADDRESS%
bigpond.net;smtp.telstra.com:465;%EMAILADDRESS%
blader.com;smtp.mail.com:465;%EMAILADDRESS%
biglobe.ne.jp;mail.biglobe.ne.jp:465,octopus.biglobe.ne.jp:465;%EMAILADDRESS%
bk.iij4u.or.jp;mbox.iij4u.or.jp:587;%EMAILLOCALPART%.%EMAILDOMAIN%
bikerider.com;smtp.mail.com:465;%EMAILADDRESS%
bk.ru;smtp.mail.ru:465,smtp32.i.mail.ru:465,smtp55.i.mail.ru:465,smtp54.i.mail.ru:465,smtp41.i.mail.ru:465,smtp45.i.mail.ru:465;%EMAILADDRESS%
belgacom.net;relay.proximus.be:587;%EMAILADDRESS%
bluemail.ch;smtpauths.bluewin.ch:465,sme.bluewin.ch:587;%EMAILADDRESS%
blue.plala.or.jp;blue.mail.plala.or.jp:587,www.cherry.hs.plala.or.jp:465,ruken.hs.plala.or.jp:587,fussa-5e.hs.plala.or.jp:465;%EMAILLOCALPART%
aol.com.au;smtp.aol.com:465;%EMAILADDRESS%
bitnisse.dk;mail.telenor.dk:587;%EMAILADDRESS%
bluewin.ch;smtpauths.bluewin.ch:465,sme.bluewin.ch:587;%EMAILADDRESS%
blueyonder.co.uk;smtp.blueyonder.co.uk:465;%EMAILADDRESS%
bmail.plala.or.jp;bmail.mail.plala.or.jp:587,www.cherry.hs.plala.or.jp:465,ruken.hs.plala.or.jp:587,fussa-5e.hs.plala.or.jp:465;%EMAILLOCALPART%
bol.com.br;smtps.bol.com.br:465;%EMAILLOCALPART%
boardermail.com;smtp.mail.com:465;%EMAILADDRESS%
bolero.plala.or.jp;bolero.mail.plala.or.jp:587,www.cherry.hs.plala.or.jp:465,ruken.hs.plala.or.jp:587,fussa-5e.hs.plala.or.jp:465;%EMAILLOCALPART%
bigpond.net.au;smtp.telstra.com:465;%EMAILADDRESS%
btinternet.com;mail.btinternet.com:465;%EMAILADDRESS%
bpost.plala.or.jp;bpost.mail.plala.or.jp:587,www.cherry.hs.plala.or.jp:465,ruken.hs.plala.or.jp:587,fussa-5e.hs.plala.or.jp:465;%EMAILLOCALPART%
autograf.pl;smtp.poczta.onet.pl:465;%EMAILADDRESS%
brown.plala.or.jp;brown.mail.plala.or.jp:587,www.cherry.hs.plala.or.jp:465,ruken.hs.plala.or.jp:587,fussa-5e.hs.plala.or.jp:465;%EMAILLOCALPART%
buziaczek.pl;smtp.poczta.onet.pl:465;%EMAILADDRESS%
bu.iij4u.or.jp;mbox.iij4u.or.jp:587;%EMAILLOCALPART%.%EMAILDOMAIN%
californiamail.com;smtp.mail.com:465;%EMAILADDRESS%
camel.plala.or.jp;camel.mail.plala.or.jp:587,www.cherry.hs.plala.or.jp:465,ruken.hs.plala.or.jp:587,fussa-5e.hs.plala.or.jp:465;%EMAILLOCALPART%
caress.com;smtp.mail.com:465;%EMAILADDRESS%
brazilmail.com;smtp.mail.com:465;%EMAILADDRESS%
centurytel.net;smtpauth.centurytel.net:587;%EMAILADDRESS%
catlover.com;smtp.mail.com:465;%EMAILADDRESS%
bp.iij4u.or.jp;mbox.iij4u.or.jp:587;%EMAILLOCALPART%.%EMAILDOMAIN%
chef.net;smtp.mail.com:465;%EMAILADDRESS%
bb-niigata.jp;pop.bb-niigata.jp:25;%EMAILLOCALPART%
cheerful.com;smtp.mail.com:465;%EMAILADDRESS%
att.net;outbound.att.net:465;%EMAILADDRESS%
beige.plala.or.jp;beige.mail.plala.or.jp:587,www.cherry.hs.plala.or.jp:465,ruken.hs.plala.or.jp:587,fussa-5e.hs.plala.or.jp:465;%EMAILLOCALPART%
chello.nl;smtp.upcmail.nl:25,pop.upcmail.nl:587;%EMAILADDRESS%
chemist.com;smtp.mail.com:465;%EMAILADDRESS%
clds.net;smtpauth.centurytel.net:587;%EMAILADDRESS%
city.dk;mail.telenor.dk:587;%EMAILADDRESS%
cameo.plala.or.jp;cameo.mail.plala.or.jp:587,www.cherry.hs.plala.or.jp:465,ruken.hs.plala.or.jp:587,fussa-5e.hs.plala.or.jp:465;%EMAILLOCALPART%
california.usa.com;smtp.mail.com:465;%EMAILADDRESS%
centurylink.net;smtp.centurylink.net:587;%EMAILADDRESS%
clerk.com;smtp.mail.com:465;%EMAILADDRESS%
brew-master.com;smtp.mail.com:465;%EMAILADDRESS%
casema.nl;smtp.ziggo.nl:587,tracker.data.ziggo.nl:587;%EMAILADDRESS%
club-internet.fr;smtp.sfr.fr:465;%EMAILADDRESS%
clio.ne.jp;mail.clio.ne.jp:587;%EMAILLOCALPART%
charter.com;mobile.charter.net:587;%EMAILADDRESS%
cgl.ucsf.edu;plato.cgl.ucsf.edu:587;%EMAILLOCALPART%
charter.net;mobile.charter.net:587;%EMAILADDRESS%
co1.wind.jp;co1.wind.ne.jp:587;%EMAILLOCALPART%
chinamail.com;smtp.mail.com:465;%EMAILADDRESS%
cmail.plala.or.jp;cmail.mail.plala.or.jp:587,www.cherry.hs.plala.or.jp:465,ruken.hs.plala.or.jp:587,fussa-5e.hs.plala.or.jp:465;%EMAILLOCALPART%
co2.wind.jp;co2.wind.ne.jp:587;%EMAILLOCALPART%
co1.wind.ne.jp;co1.wind.ne.jp:587;%EMAILLOCALPART%
collector.org;smtp.mail.com:465;%EMAILADDRESS%
comic.com;smtp.mail.com:465;%EMAILADDRESS%
cocoa.plala.or.jp;cocoa.mail.plala.or.jp:587,www.cherry.hs.plala.or.jp:465,ruken.hs.plala.or.jp:587,fussa-5e.hs.plala.or.jp:465;%EMAILLOCALPART%
compuserve.com;smtp.aol.com:465;%EMAILADDRESS%
coda.plala.or.jp;coda.mail.plala.or.jp:587,www.cherry.hs.plala.or.jp:465,ruken.hs.plala.or.jp:587,fussa-5e.hs.plala.or.jp:465;%EMAILLOCALPART%
clustermail.de;mail.clustermail.de:587;%EMAILADDRESS%
consultant.com;smtp.mail.com:465;%EMAILADDRESS%
co2.wind.ne.jp;co2.wind.ne.jp:587;%EMAILLOCALPART%
cliffhanger.com;smtp.mail.com:465;%EMAILADDRESS%
contractor.net;smtp.mail.com:465;%EMAILADDRESS%
co3.wind.jp;co3.wind.ne.jp:587;%EMAILLOCALPART%
coastalnow.net;smtpauth.centurytel.net:587;%EMAILADDRESS%
comcast.net;smtp.comcast.net:465;%EMAILADDRESS%
btopenworld.com;mail.btinternet.com:465;%EMAILADDRESS%
counsellor.com;smtp.mail.com:465;%EMAILADDRESS%
cochill.net;smtpauth.centurytel.net:587;%EMAILADDRESS%
corp.mail.ru;smtp.mail.ru:465,smtp32.i.mail.ru:465,smtp55.i.mail.ru:465,smtp54.i.mail.ru:465,smtp41.i.mail.ru:465,smtp45.i.mail.ru:465;%EMAILADDRESS%
coolsite.net;smtp.mail.com:465;%EMAILADDRESS%
columnist.com;smtp.mail.com:465;%EMAILADDRESS%
count.com;smtp.mail.com:465;%EMAILADDRESS%
computer4u.com;smtp.mail.com:465;%EMAILADDRESS%
cs.com;smtp.aol.com:465;%EMAILADDRESS%
cream.plala.or.jp;cream.mail.plala.or.jp:587,www.cherry.hs.plala.or.jp:465,ruken.hs.plala.or.jp:587,fussa-5e.hs.plala.or.jp:465;%EMAILLOCALPART%
coral.broba.ccv;mail.broba.cc:587;%EMAILADDRESS%
cutey.com;smtp.mail.com:465;%EMAILADDRESS%
cswnet.com;smtpauth.centurytel.net:587;%EMAILADDRESS%
cty-net.ne.jp;smtps.cty-net.ne.jp:465,www1.cty-net.ne.jp:587;%EMAILADDRESS%
cyberjunkie.dk;mail.telenor.dk:587;%EMAILADDRESS%
cyberdude.com;smtp.mail.com:465;%EMAILADDRESS%
dan.wind.co.jp;dan.wind.ne.jp:587;%EMAILLOCALPART%
couple.com;smtp.mail.com:465;%EMAILADDRESS%
concerto.plala.or.jp;concerto.mail.plala.or.jp:587,www.cherry.hs.plala.or.jp:465,ruken.hs.plala.or.jp:587,fussa-5e.hs.plala.or.jp:465;%EMAILLOCALPART%
courante.plala.or.jp;courante.mail.plala.or.jp:587,www.cherry.hs.plala.or.jp:465,ruken.hs.plala.or.jp:587,fussa-5e.hs.plala.or.jp:465;%EMAILLOCALPART%
dan.wind.jp;dan.wind.ne.jp:587;%EMAILLOCALPART%
cpost.plala.or.jp;cpost.mail.plala.or.jp:587,www.cherry.hs.plala.or.jp:465,ruken.hs.plala.or.jp:587,fussa-5e.hs.plala.or.jp:465;%EMAILLOCALPART%
cox.net;smtp.cox.net:465,wsip-24-234-112-148.lv.lv.cox.net:465,smtp.myemail.cox.net:587;%EMAILLOCALPART%
dk2net.dk;mail.telenor.dk:587;%EMAILADDRESS%
dan.gunmanet.or.jp;dan.wind.ne.jp:587;%EMAILLOCALPART%
disciples.com;smtp.mail.com:465;%EMAILADDRESS%
cybergal.com;smtp.mail.com:465;%EMAILADDRESS%
deliveryman.com;smtp.mail.com:465;%EMAILADDRESS%
dan.gunmanet.ne.jp;dan.wind.ne.jp:587;%EMAILLOCALPART%
dallasmail.com;smtp.mail.com:465;%EMAILADDRESS%
co3.wind.ne.jp;co3.wind.ne.jp:587;%EMAILLOCALPART%
cty-net.com;smtps.cty-net.ne.jp:465,www1.cty-net.ne.jp:587;%EMAILADDRESS%
cyberdude.dk;mail.telenor.dk:587;%EMAILADDRESS%
cyber-wizard.com;smtp.mail.com:465;%EMAILADDRESS%
dondominio.com;smtp.dondominio.com:465,mailing.dondominio.com:587,mailsrv5.dondominio.com:587,mailsrv7.dondominio.com:587,mailsrv2.dondominio.com:465,mailsrv6.dondominio.com:587;%EMAILADDRESS%
dr.com;smtp.mail.com:465;%EMAILADDRESS%
cneweb.de;smtp.versatel.de:25,maildo.versatel.de:465;%EMAILADDRESS%
dan.wind.ne.jp;dan.wind.ne.jp:587;%EMAILLOCALPART%
doglover.com;smtp.mail.com:465;%EMAILADDRESS%
dance.plala.or.jp;dance.mail.plala.or.jp:587,www.cherry.hs.plala.or.jp:465,ruken.hs.plala.or.jp:587,fussa-5e.hs.plala.or.jp:465;%EMAILLOCALPART%
dk-online.dk;mail.telenor.dk:587;%EMAILADDRESS%
dd.iij4u.or.jp;mbox.iij4u.or.jp:587;%EMAILLOCALPART%.%EMAILDOMAIN%
diplomats.com;smtp.mail.com:465;%EMAILADDRESS%
diamond.broba.cc;mail.broba.cc:587;%EMAILADDRESS%
dbzmail.com;smtp.mail.com:465;%EMAILADDRESS%
coral.plala.or.jp;coral.mail.plala.or.jp:587,www.cherry.hs.plala.or.jp:465,ruken.hs.plala.or.jp:587,fussa-5e.hs.plala.or.jp:465;%EMAILLOCALPART%
elpasotel.net;smtp.elpasotel.net:587;%EMAILADDRESS%
doctor.com;smtp.mail.com:465;%EMAILADDRESS%
dmail.plala.or.jp;dmail.mail.plala.or.jp:587,www.cherry.hs.plala.or.jp:465,ruken.hs.plala.or.jp:587,fussa-5e.hs.plala.or.jp:465;%EMAILLOCALPART%
earthlink.net;smtpauth.earthlink.net:587,smtpauth.qe.earthlink.net:587;%EMAILADDRESS%
doramail.com;smtp.mail.com:465;%EMAILADDRESS%
emadisonriver.com;smtpauth.centurytel.net:587;%EMAILADDRESS%
ebony.plala.or.jp;ebony.mail.plala.or.jp:587,www.cherry.hs.plala.or.jp:465,ruken.hs.plala.or.jp:587,fussa-5e.hs.plala.or.jp:465;%EMAILLOCALPART%
elsker.dk;mail.telenor.dk:587;%EMAILADDRESS%
email.com;smtp.mail.com:465;%EMAILADDRESS%
emadisonriver.net;smtpauth.centurytel.net:587;%EMAILADDRESS%
cool.dk;mail.telenor.dk:587;%EMAILADDRESS%
emailsrvr.com;secure.emailsrvr.com:465;%EMAILADDRESS%
email.plala.or.jp;email.mail.plala.or.jp:587,www.cherry.hs.plala.or.jp:465,ruken.hs.plala.or.jp:587,fussa-5e.hs.plala.or.jp:465;%EMAILLOCALPART%
email.cz;smtp.seznam.cz:465,mx2.mojedomena.seznam.cz:465;%EMAILADDRESS%
earthling.net;smtp.mail.com:465;%EMAILADDRESS%
engineer.com;smtp.mail.com:465;%EMAILADDRESS%
elvisfan.com;smtp.mail.com:465;%EMAILADDRESS%
elinstallatoer.dk;mail.telenor.dk:587;%EMAILADDRESS%
dublin.com;smtp.mail.com:465;%EMAILADDRESS%
fald.dk;mail.telenor.dk:587;%EMAILADDRESS%
embarqmail.com;smtp.centurylink.net:587;%EMAILADDRESS%
elvis.dk;mail.telenor.dk:587;%EMAILADDRESS%
fedt.dk;mail.telenor.dk:587;%EMAILADDRESS%
email.dk;mail.telenor.dk:587;%EMAILADDRESS%
fastwebnet.it;smtp.fastwebnet.it:587;%EMAILADDRESS%
ewe.net;smtp.ewe.net:587,smtps-1.ewe.net:587;%EMAILADDRESS%
ewetel.de;smtp.ewe.net:587,smtps-1.ewe.net:587;%EMAILADDRESS%
flamenco.plala.or.jp;flamenco.mail.plala.or.jp:587,www.cherry.hs.plala.or.jp:465,ruken.hs.plala.or.jp:587,fussa-5e.hs.plala.or.jp:465;%EMAILLOCALPART%
ff.iij4u.or.jp;mbox.iij4u.or.jp:587;%EMAILLOCALPART%.%EMAILDOMAIN%
englandmail.com;smtp.mail.com:465;%EMAILADDRESS%
fan.com;smtp.mail.com:465;%EMAILADDRESS%
europemail.com;smtp.mail.com:465;%EMAILADDRESS%
europe.com;smtp.mail.com:465;%EMAILADDRESS%
email.it;smtp.email.it:587,ir-spamexp2.email.it:587;%EMAILADDRESS%
execs.com;smtp.mail.com:465;%EMAILADDRESS%
flash.net;outbound.att.net:465;%EMAILADDRESS%
fantasy.plala.or.jp;fantasy.mail.plala.or.jp:587,www.cherry.hs.plala.or.jp:465,ruken.hs.plala.or.jp:587,fussa-5e.hs.plala.or.jp:465;%EMAILLOCALPART%
florida.usa.com;smtp.mail.com:465;%EMAILADDRESS%
feelings.com;smtp.mail.com:465;%EMAILADDRESS%
foni.net;smtp.versatel.de:25,maildo.versatel.de:465;%EMAILADDRESS%
fuga.plala.or.jp;fuga.mail.plala.or.jp:587,www.cherry.hs.plala.or.jp:465,ruken.hs.plala.or.jp:587,fussa-5e.hs.plala.or.jp:465;%EMAILLOCALPART%
forening.dk;mail.telenor.dk:587;%EMAILADDRESS%
free.fr;smtp.free.fr:25,mrelay4-2.free.fr:465,dreyer.hd.free.fr:587,yaka.hd.free.fr:587,erwann.hd.free.fr:587,smtp7-g19.free.fr:587;%EMAILLOCALPART%
footballer.com;smtp.mail.com:465;%EMAILADDRESS%
feminin.dk;mail.telenor.dk:587;%EMAILADDRESS%
fireman.net;smtp.mail.com:465;%EMAILADDRESS%
gadefejer.dk;mail.telenor.dk:587;%EMAILADDRESS%
film.dk;mail.telenor.dk:587;%EMAILADDRESS%
financier.com;smtp.mail.com:465;%EMAILADDRESS%
gardener.com;smtp.mail.com:465;%EMAILADDRESS%
e23.jp;mbox.iijmio-mail.jp:587;%EMAILLOCALPART%.%EMAILDOMAIN%
geologist.com;smtp.mail.com:465;%EMAILADDRESS%
gmail.com;smtp.gmail.com:465,smtp-relay.gmail.com:465;%EMAILADDRESS%
gigapec.it;smtps.pec.aruba.it:465,safety21.pec.aruba.it:465;%EMAILADDRESS%
garnet.broba.cc;mail.broba.cc:587;%EMAILADDRESS%
gigahost.dk;smtp.gigahost.dk:587;%EMAILADDRESS%
gmx.at;mail.gmx.net:465;%EMAILADDRESS%
fmail.plala.or.jp;fmail.mail.plala.or.jp:587,www.cherry.hs.plala.or.jp:465,ruken.hs.plala.or.jp:587,fussa-5e.hs.plala.or.jp:465;%EMAILLOCALPART%
gelsennet.de;smtp.versatel.de:25,maildo.versatel.de:465;%EMAILADDRESS%
gmx.biz;mail.gmx.net:465;%EMAILADDRESS%
gmx.ca;mail.gmx.com:465;%EMAILADDRESS%
freenet.de;mx.freenet.de:587;%EMAILADDRESS%
gandi.net;mail.gandi.net:465,mail.gandi.net:587;%EMAILADDRESS%
gallatinriver.net;smtpauth.centurytel.net:587;%EMAILADDRESS%
gmx.com;mail.gmx.com:465;%EMAILADDRESS%
germanymail.com;smtp.mail.com:465;%EMAILADDRESS%
gmx.ch;mail.gmx.net:465;%EMAILADDRESS%
gmx.cn;mail.gmx.com:465;%EMAILADDRESS%
giallo.it;smtp.libero.it:465;%EMAILADDRESS%
gmx.es;mail.gmx.com:465;%EMAILADDRESS%
gmx.de;mail.gmx.net:465;%EMAILADDRESS%
gmx.fr;mail.gmx.com:465;%EMAILADDRESS%
gmail.plala.or.jp;gmail.mail.plala.or.jp:587,www.cherry.hs.plala.or.jp:465,ruken.hs.plala.or.jp:587,fussa-5e.hs.plala.or.jp:465;%EMAILLOCALPART%
gmx.com.my;mail.gmx.com:465;%EMAILADDRESS%
gmx.li;mail.gmx.com:465;%EMAILADDRESS%
gmx.com.tr;mail.gmx.com:465;%EMAILADDRESS%
gmx.ph;mail.gmx.com:465;%EMAILADDRESS%
gmx.org;mail.gmx.net:465;%EMAILADDRESS%
gmx.net;mail.gmx.net:465;%EMAILADDRESS%
gmx.tm;mail.gmx.com:465;%EMAILADDRESS%
gmx.com.br;mail.gmx.com:465;%EMAILADDRESS%
gmx.eu;mail.gmx.net:465;%EMAILADDRESS%
go2.pl;poczta.o2.pl:465;%EMAILLOCALPART%
gmx.hk;mail.gmx.com:465;%EMAILADDRESS%
gmx.it;mail.gmx.com:465;%EMAILADDRESS%
gmx.info;mail.gmx.net:465;%EMAILADDRESS%
google.com;smtp.gmail.com:465,smtp-relay.gmail.com:465;%EMAILADDRESS%
googlemail.com;smtp.gmail.com:465,smtp-relay.gmail.com:465;%EMAILADDRESS%
goneo.de;smtp.goneo.de:465;%EMAILADDRESS%
gmx.ie;mail.gmx.com:465;%EMAILADDRESS%
goo.jp;smtp.mail.goo.ne.jp:587;%EMAILLOCALPART%
gransy.com;smtp.gransy.com:465,firemni.gransy.com:587;%EMAILADDRESS%
gmx.sg;mail.gmx.com:465;%EMAILADDRESS%
gmx.se;mail.gmx.com:465;%EMAILADDRESS%
gmx.pt;mail.gmx.com:465;%EMAILADDRESS%
gmx.ru;mail.gmx.com:465;%EMAILADDRESS%
gmx.us;mail.gmx.com:465;%EMAILADDRESS%
grin.dk;mail.telenor.dk:587;%EMAILADDRESS%
gulftel.com;smtpauth.centurytel.net:587;%EMAILADDRESS%
go.tvm.ne.jp;go.tvm.ne.jp:25;%EMAILLOCALPART%
grape.plala.or.jp;grape.mail.plala.or.jp:587,www.cherry.hs.plala.or.jp:465,ruken.hs.plala.or.jp:587,fussa-5e.hs.plala.or.jp:465;%EMAILLOCALPART%
go4more.de;smtp.1und1.de:587;%EMAILADDRESS%
gmx.tw;mail.gmx.com:465;%EMAILADDRESS%
gason.dk;mail.telenor.dk:587;%EMAILADDRESS%
hardworking.dk;mail.telenor.dk:587;%EMAILADDRESS%
hal.ne.jp;mail.hal.ne.jp:587;%EMAILLOCALPART%
gray.plala.or.jp;gray.mail.plala.or.jp:587,www.cherry.hs.plala.or.jp:465,ruken.hs.plala.or.jp:587,fussa-5e.hs.plala.or.jp:465;%EMAILLOCALPART%
hana.or.jp;mail.hana.or.jp:587,www2.hana.or.jp:587;%EMAILLOCALPART%
graphic-designer.com;smtp.mail.com:465;%EMAILADDRESS%
hairdresser.net;smtp.mail.com:465;%EMAILADDRESS%
heaven.dk;mail.telenor.dk:587;%EMAILADDRESS%
home.nl;smtp.ziggo.nl:587,tracker.data.ziggo.nl:587;%EMAILADDRESS%
hackermail.com;smtp.mail.com:465;%EMAILADDRESS%
grov.dk;mail.telenor.dk:587;%EMAILADDRESS%
grics.net;smtpauth.centurytel.net:587;%EMAILADDRESS%
hockeymail.com;smtp.mail.com:465;%EMAILADDRESS%
hilarious.com;smtp.mail.com:465;%EMAILADDRESS%
gmx.co.uk;mail.gmx.com:465;%EMAILADDRESS%
hahah.nl;smtp.ziggo.nl:587,tracker.data.ziggo.nl:587;%EMAILADDRESS%
hotmail.be;smtp.office365.com:587,live-nameast.office365.com:587,live-nameast2.office365.com:587,live-nameast3.office365.com:587,live-nameast4.office365.com:587,live-nameast5.office365.com:587,live-namnorthwest.office365.com:587,live-namnorthwest2.office365.com:587,live-namnorthwest3.office365.com:587,live-namnorthwest4.office365.com:587,live-namsouth.office365.com:587,live-namsouth2.office365.com:587,live-namsouth3.office365.com:587,live-namsouth4.office365.com:587,live-namsouth5.office365.com:587,live-namsouth6.office365.com:587,outlook-emeaeast.office365.com:587,outlook-emeaeast2.office365.com:587,outlook-emeaeast3.office365.com:587,outlook-emeaeast4.office365.com:587,outlook-namnorthwest.office365.com:587,outlook-namnorthwest2.office365.com:587,outlook-namnorthwest3.office365.com:587,outlook-namnorthwest4.office365.com:587,outlook-namsouth.office365.com:587,outlook-namsouth2.office365.com:587,outlook-namsouth3.office365.com:587,outlook-namsouth4.office365.com:587,outlook-namsouth5.office365.com:587,outlook-namsouth6.office365.com:587;%EMAILADDRESS%
